Name,Number,Category,Keywords,Description
Juno,3,Major Asteroid,Marriage commitment legal bonds spousal qualities,Represents marriage partnerships and what you need in relationships to commit. Shows spousal qualities and legal ties. Associated with loyalty and the marriage partner.
Eros,433,Asteroid,Erotic love sexual desire passion transformation,Rules sex and sexual desire. Shows what turns you on and your approach to sexual relationships. Can indicate sexual objectification and creative passion.
Psyche,16,Asteroid,Soul love telepathy intuition unconscious,Represents the soul and psychic connection. Soulmate indicator especially with Eros. Shows telepathy intuition and soul seeking completion.
Amor,1221,Asteroid,Compassion empathy loving kindness,Represents potential for intimacy and whether love is conditional or not. Shows the path to self-love with help from another.
Aphrodite,1388,Asteroid,Love beauty fertility sexual connection,Goddess of love and fertility. Shows how connected you are with spouse and how you are in love. Can also indicate beauty and artistic inspiration.
Valentine,447,Asteroid,Pure love sacrifice unconditional,Represents sacrificial pure love. The kind where you'd take a bullet for someone. Shows how you act when first having a crush.
Cupido,763,Asteroid,Infatuation attraction flirtation,Asteroid of crushes and instant attraction. Shows pursuit of romance and initial courting period. Can be highly sexual and vain.
Sappho,80,Asteroid,Poetry artistic expression sexuality authenticity,Named after the poet of Lesbos. Represents same-sex attraction flirtation artistic sensitivity and being true to your sexual self.
Union,1585,Asteroid,Marriage connection unity,Represents desire to marry and create connection. Shows wanting to unite with another.
Karma,3811,Asteroid,Karmic connections past life patterns,Shows karmic relationships and past life connections. Indicates natural understanding between people.
Adonis,2101,Asteroid,Physical attraction beauty magnetism,Represents sexual attraction passion and aesthetic beauty. Strong interaction with relationship planets shows extreme attractiveness.
Ganymed,1036,Asteroid,Friendship freedom independence,Represents friendship and freedom in love. Shows preserving individual space while building relationships on friendship foundation.
Hera,103,Asteroid,Marriage jealousy commitment spouse,Greek version of Juno. Shows marriage dynamics and can be reactive and jealous especially in crisis.
Kama,1387,Asteroid,Lust sexuality taboo desires,Shows how you value sex sexual nature and taboo topics. Can indicate kinks and desires during sex.
Lust,4386,Asteroid,Sexual awakening intense desire,Similar to Eros but stronger want. Represents great sexual awakening and uncontrollable need for sex.
Priapus,h22,Sensitive Point,Phallic energy physical attraction merging,Represents overwhelming need to merge sexually. Shows where someone wants to merge with you. Paired naturally with Black Moon Lilith.
Lilith (Asteroid),1181,Asteroid,Equality rage demonized feminine sexuality,Issues of equality in relationships and suppressed rage. Represents reclaiming the dark goddess and embodied sexuality.
Black Moon Lilith,h13/h21,Sensitive Point,Magic tantric sex psychic kundalini,Represents creative force tantric sex psychic ability kundalini and animal magnetism. Associated with shamanism and transmutation.
Dark Moon Lilith,h58,Sensitive Point,Shadow sadomasochism emotional pain,Anti-mother energy. Connected to sadomasochism emotional pain and the shadow. Can indicate vengeance and madness.
Vesta,4,Major Asteroid,Sacred sex devotion ritual tantric,The virgin goddess. Represents devotion to serving ritualistic practice sacred flame and tantric sex. Shows spiritual transformation through sex.
Ceres,1,Dwarf Planet,Unconditional love nurturing mothering,Represents unconditional mother love and what you need to feel nurtured. Shows selfless love and caring nature.
