1,Ceres
2,Pallas
3,Juno
4,Vesta
5,Astraea
6,Hebe
7,Iris
7,Iris
10,Hygiea
16,Psyche
30,Urania
34,Circe
42,Isis
42,Isis
55,Pandora
71,Niobe
75,Eurydike
78,Diana
80,Sappho
81,Terpsichore
93,Minerva
97,Klotho
100,Hekate
103,Hera
114,Kassandra
120,Lachesis
128,Nemesis
140,Siwa
157,Dejanira
171,Ophelia
273,Atropos
318,Magdalena
389,Industria
399,Persephone
407,Arachne
430,Hybris
433,Eros
443,Photographica
588,Achilles
896,Sphinx
944,Hidalgo
1170,Siva
1181,Lilith
1198,Atlantis
1221,Amor
1247,Memoria
1388,Aphrodite
1388,Aphrodite
1488,Aura
1566,Icarus
1685,Toro
1862,Apollo
1866,Sisyphus
1923,Osiris
1923,Osiris
2060,Chiron
2063,Bacchus
2102,Tantalus
2212,Hephaistos
2254,Requiem
2878,Panacea
2938,Hopi
3200,Phaethon
3361,Orpheus
3671,Dionysus
3811,Karma
3811,Karma
4227,Kaali
4580,Child
4581,Asclepius
4946,Askalaphus
4950,House
5011,Ptah
5143,Heracles
5145,Pholus
5335,Damocles
6235,Burney
7066,Nessus
8405,Asbolus
9248,Sauer
10199,Chariklo
10370,Hylonome
15760,Albion
15810,Arawn
19521,Chaos
20000,Varuna
25143,Itokawa
28978,Ixion
31824,Elatus
32532,Thereus
37117,Narcissus
38083,Rhadamanthus
38628,Huya
42355,Typhon
47171,Lempo
49036,Pelion
50000,Quaoar
52872,Okyrhoe
52975,Cyllarus
53311,Deucalion
54598,Bienor
55576,Amycus
58534,Logos
60558,Echeclus
65489,Ceto
66652,Borasisi
69230,Hermes
69230,Hermes
79360,Sila-Nunam
83982,Crantor
88611,Teharonhiawako
90377,Sedna 2003 VB12
90482,Orcus
99942,Apophis
120347,Salacia
121725,Aphidas
134340,Pluto-Charon
136108,Haumea
136199,Eris
136472,Makemake
148780,Altjira
174567,Varda
229762,G!kun||'homdima
330836,Orius
341520,Mors-Somnus
346889,Rhiphonos
385446,Manwe
420356,Praamzius
471143,Dziewanna
,Sun
,Moon
,Mercury
,Venus
,Mars
,Jupiter
,Saturn
,Uranus
,Neptune
,Gal. Center
,Great Attractor
,mean Node
,true Node
,mean Apogee
,osc. Apogee
,Cupido
,Hades
,Zeus
,Kronos
,Apollon
,Admetos
,Vulkanus
,Poseidon
,ARMC
ASC,ASCENDANT
H01,HOUSE 1
H02,HOUSE 2
H03,HOUSE 3
H04,HOUSE 4
H05,HOUSE 5
H06,HOUSE 6
H07,HOUSE 7
H08,HOUSE 8
H09,HOUSE 9
H10,HOUSE 10
H11,HOUSE 11
H12,HOUSE 12
MC,MC
,VERTEX
,Isis-Transpluto
